MR,T,t
0.0001974502040258349,-43.83058095360943,1699885362.8177636
0.00019719030403197668,-43.14216985237702,1699885363.4503732
0.00019448984790516112,-42.54799179418406,1699885364.0622346
0.00019307909989069188,-41.86900008721619,1699885364.6947188
0.00019096813220931968,-41.26807416338937,1699885365.3104353
0.0001883128231381502,-40.67216789964645,1699885365.920156
0.00018762333668661185,-40.07752589911037,1699885366.5439465
0.00018549735130029136,-39.507485033737744,1699885367.1666932
0.00018388704120790372,-38.88281499605081,1699885367.7705727
0.00018174451428442325,-38.290174986325916,1699885368.403976
0.00018008310511129943,-37.671250219877685,1699885369.0178545
0.00017679765587334104,-37.075980400193174,1699885369.6404538
0.00017424945602634266,-36.533751748499995,1699885370.271465
0.00017359174305599581,-35.99062830230624,1699885370.8938918
0.00017057643459631502,-35.41742537891717,1699885371.5235
0.00016875992384191474,-34.80982833568868,1699885372.1709597
0.00016606196927240752,-34.266135681745176,1699885372.8047624
0.00016411882340514758,-33.69784353301944,1699885373.4375026
0.00016168239047734896,-33.17006344743482,1699885374.0691483
0.0001595459370160359,-32.565627979909486,1699885374.712321
0.00015657096377565287,-32.0232594969623,1699885375.3447702
0.00015409731954925447,-31.518041558190145,1699885375.9885318
0.00015108904872367064,-30.937158717077615,1699885376.6329184
0.00014823062127624826,-30.43771574057347,1699885377.2923796
0.00014531801112525623,-29.898761679172097,1699885377.9254484
0.00014287842607829947,-29.35730840180054,1699885378.5765188
0.00013990804885096286,-28.87472983679595,1699885379.2169383
0.00013671517481751838,-28.359328668389043,1699885379.877873
0.00013384860835701008,-27.81961628984554,1699885380.5191603
0.00012784373113034725,-26.857385085736535,1699885381.689902
0.00012495778049552713,-26.343329657421137,1699885382.330639
0.00012186974467202312,-25.83889654094283,1699885382.9917269
0.00011800438698984967,-25.34025156426411,1699885383.643981
0.00011407798450223021,-24.869748131102373,1699885384.3078406
0.00011051799201224355,-24.33996409732072,1699885384.9815435
0.00010589651902038494,-23.865074177464354,1699885385.6455963
0.00010233278884394707,-23.375337899199497,1699885386.3103242
9.84792072775817e-05,-22.876476917711077,1699885386.970854
9.40154759053402e-05,-22.366106253639412,1699885387.6483684
8.961403110090305e-05,-21.91646301669519,1699885388.311927
8.480131936512806e-05,-21.511051831554152,1699885388.995444
8.023897863224834e-05,-21.00918587175864,1699885389.6689572
7.507504153924264e-05,-20.53435959862225,1699885390.3435304
7.001806931293956e-05,-20.08997328259794,1699885391.026995
6.54661641463538e-05,-19.615786413474876,1699885391.7097068
5.999055139475932e-05,-19.140513001203583,1699885392.533948
5.486625368277947e-05,-18.675583602223487,1699885393.1956613
4.990706346115947e-05,-18.24279828756924,1699885393.87949
4.622589744971484e-05,-17.86252913216636,1699885394.5735648
4.2326828919595135e-05,-17.457555447913595,1699885395.256574
3.900470856283114e-05,-16.967766945809444,1699885395.9421916
3.507013860919575e-05,-16.580538327544133,1699885396.6393602
3.288670593416757e-05,-16.158636481711845,1699885397.3316894
3.038121004550684e-05,-15.739783362497947,1699885398.0438926
2.814839079181918e-05,-15.338812279162516,1699885398.7484877
2.6400189543911987e-05,-14.941991026174184,1699885399.4417677
2.457284644091978e-05,-14.550067310432295,1699885400.1354926
2.3178274467108472e-05,-14.181557594829552,1699885400.836946
2.2217095265097542e-05,-13.7692668210338,1699885401.5282147
2.060641427465151e-05,-13.450981917171115,1699885402.2291846
2.014242319207586e-05,-13.009960174426228,1699885402.9412498
1.9007548191795664e-05,-12.614842084238212,1699885403.6469378
1.8649139960569183e-05,-12.27696832113665,1699885404.3519995
1.8081843587753646e-05,-11.921301671818114,1699885405.0537908
1.7514030979174994e-05,-11.498461612659257,1699885405.7750347
1.6842162398137532e-05,-11.049868402904215,1699885406.6927924
1.626525684700757e-05,-10.731294079053082,1699885407.4163353
1.6207840579764203e-05,-10.3457462201079,1699885408.1388607
1.545769428784232e-05,-9.934262252204084,1699885408.8927457
1.4941664229118747e-05,-9.623367506958752,1699885409.6262844
1.5437537978664527e-05,-9.24083952057969,1699885410.3507347
1.55126636780222e-05,-8.882841198933793,1699885411.072193
1.4836847397960594e-05,-8.540522271595714,1699885411.8031518
1.4601986666830645e-05,-8.222782727136844,1699885412.524533
1.4663556847581522e-05,-7.918583213384875,1699885413.2755048
1.4756623608746814e-05,-7.5661828194872545,1699885413.9966433
1.407207553948239e-05,-7.2261818189,1699885414.759498
1.3860696324277563e-05,-6.856005758876202,1699885415.4929707
1.391000013875931e-05,-6.551138819479108,1699885416.2427752
